	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
Foundations of Mathematics|Mathematical logic|0	0.15666091	-0.027404564	0.0059088436	0.06414538	-0.15139665	-0.056628328	-0.076379344	0.016586874	-0.016701043	0.050860148	-0.12580536	-0.03969628	0.026434634	0.042243775	-0.016370265	-0.081776746	0.053296976	-0.046632018	-0.048416812	-0.043881547	-0.09518478	0.07808091	0.10150958	-0.02529901	0.19293652	-0.1589624	-0.061350174	-0.27564642	-0.073686406	0.051645212	-0.021799756	0.021757588	-0.11516913	-0.1355396	0.009439404	0.15174715	-0.091584444	-0.09106238	0.06379289	-0.046577457	-0.1150247	0.12110005	-0.03437466	0.1701119	-0.06108777	0.025370117	0.10937897	0.11762462	0.055123646	0.02409471	0.04439346	-0.10741644	0.11465986	-0.16741988	-0.042076387	-0.007243222	0.026329827	-0.0067271604	0.16737185	0.12442373	-0.044350833	-0.004856886	-0.12984894	-0.09714232	-0.045931358	0.049457442	-0.028328074	0.09982585	0.043007884	0.013592213	-0.039258473	0.030063525	0.0583747	-0.004765392	-0.02624364	-0.025892297	-0.071160994	-0.11139929	-0.07676119	0.015549168	0.0009022942	-0.09533241	-0.12781925	-0.23290505	0.04260738	0.0914288	0.021286717	-0.24748953	-0.006527026	-0.005136647	0.11843503	-0.09991689	0.094274744	0.1048456	-0.12109075	0.015852662	-0.08006151	-0.10717349	-0.11166903	-0.010459349	0.025269264	0.06870469	-0.05487026	-0.022227293	0.118874855	0.01901887	-0.18949412	0.0901435	-0.022839425	0.04470241	0.017185483	0.027703615	0.087028906	-0.06655728	0.15394989	-0.11743836	0.09939901	-0.19727124	-0.11767978	0.11991817	-0.061178446	-0.023010662	-0.14354455	0.09238206	0.12923849	-0.14175841	-0.031820197	0.021552047	-0.078800045	0.054616693	-0.023059111	-0.06174505	-0.050093412	-0.02578637	0.09982957	-0.0476008	0.01364965	-0.03604824	0.06241577	-0.024102509	0.13565837	0.099907495	-0.13429908	-0.07204674	-0.033764027	-0.09742303	-0.08773821	0.0032598178	0.06997068	-0.08357295	-0.03311624	0.02403568	0.1451014	0.16082136	-0.010218525	-0.024599377	-0.014863224	-0.16010335	0.039015114	-0.029058304	-0.04635063	0.085473776	-0.054645352	-0.024682516	0.09839449	0.23883636	0.093123905	-0.06556785	0.024969492	-0.020329611	-0.09440829	0.021398444	0.06828021	0.06471308	0.028314242	-0.06667219	-0.013348721	0.12087558	0.011326498	-0.16135478	0.014150855	0.0131377	0.082822956	-0.15255797	-0.098497234	0.031299945	0.03785258	-0.021962043	0.038588457	-0.10007452	0.010413356	-0.09148788	-0.07511246	0.0068752174	0.061183896	0.09846584	-0.1640266	-0.019916777	-0.16251722	-0.075540625	-0.0030937449	0.08307288	0.044196814	-0.062354803	-0.07482355	-0.0049986145	0.041844256	0.0406267	0.18417355	-0.09903438	-0.04813048	-0.18640164	0.08794171	0.07249397	0.16020814	-0.031924143	-0.023649434	0.0603422	-0.02361703	0.026847677	-0.018581169	0.13683225	-0.018631829	-0.13326176	0.06785543	0.041380912	0.0655508	-0.0036096429	-0.1666375	-0.15745156	-0.021240488	0.036952097	0.122377455	0.001687858	0.10836703	0.06390645	-0.099263705	-0.027174732	0.0009968205	0.025260946	-0.14463608	0.04033627	0.01544881	-0.049702358	0.1728781	-0.0062048384	-0.078067504	0.023282954	-0.012146198	-0.07485449	-0.09582881	-0.1190161	-0.07699658	-0.018810155	0.048849132	-0.1264501	0.09743512	0.055354316	-0.0149063	-0.07137892	-0.15936744	0.01665191	0.14646712	0.029416999	-0.006985418	-0.10956519	0.08668398	0.09967686	-0.10161211	0.12838544	-0.08131696	-0.15739365	-0.006851236	-0.06885164	0.1000591	0.15180317	-0.045410518	-0.08020381	0.12989731	-0.07103046	-0.074362375	0.08102029	-0.023925038	-0.07320667	0.044351526	-0.17272678	-0.10975178	-0.070829235	0.16923451	0.06071326	0.023502203	-0.031419892	0.19757149	-0.02173225	0.10138202	-0.013502942	0.12134997	-0.0027228259	0.010156059	-0.07252743
Foundations of Mathematics|Mathematical logic|1	0.15666091	-0.027404564	0.0059088436	0.06414538	-0.15139665	-0.056628328	-0.076379344	0.016586874	-0.016701043	0.050860148	-0.12580536	-0.03969628	0.026434634	0.042243775	-0.016370265	-0.081776746	0.053296976	-0.046632018	-0.048416812	-0.043881547	-0.09518478	0.07808091	0.10150958	-0.02529901	0.19293652	-0.1589624	-0.061350174	-0.27564642	-0.073686406	0.051645212	-0.021799756	0.021757588	-0.11516913	-0.1355396	0.009439404	0.15174715	-0.091584444	-0.09106238	0.06379289	-0.046577457	-0.1150247	0.12110005	-0.03437466	0.1701119	-0.06108777	0.025370117	0.10937897	0.11762462	0.055123646	0.02409471	0.04439346	-0.10741644	0.11465986	-0.16741988	-0.042076387	-0.007243222	0.026329827	-0.0067271604	0.16737185	0.12442373	-0.044350833	-0.004856886	-0.12984894	-0.09714232	-0.045931358	0.049457442	-0.028328074	0.09982585	0.043007884	0.013592213	-0.039258473	0.030063525	0.0583747	-0.004765392	-0.02624364	-0.025892297	-0.071160994	-0.11139929	-0.07676119	0.015549168	0.0009022942	-0.09533241	-0.12781925	-0.23290505	0.04260738	0.0914288	0.021286717	-0.24748953	-0.006527026	-0.005136647	0.11843503	-0.09991689	0.094274744	0.1048456	-0.12109075	0.015852662	-0.08006151	-0.10717349	-0.11166903	-0.010459349	0.025269264	0.06870469	-0.05487026	-0.022227293	0.118874855	0.01901887	-0.18949412	0.0901435	-0.022839425	0.04470241	0.017185483	0.027703615	0.087028906	-0.06655728	0.15394989	-0.11743836	0.09939901	-0.19727124	-0.11767978	0.11991817	-0.061178446	-0.023010662	-0.14354455	0.09238206	0.12923849	-0.14175841	-0.031820197	0.021552047	-0.078800045	0.054616693	-0.023059111	-0.06174505	-0.050093412	-0.02578637	0.09982957	-0.0476008	0.01364965	-0.03604824	0.06241577	-0.024102509	0.13565837	0.099907495	-0.13429908	-0.07204674	-0.033764027	-0.09742303	-0.08773821	0.0032598178	0.06997068	-0.08357295	-0.03311624	0.02403568	0.1451014	0.16082136	-0.010218525	-0.024599377	-0.014863224	-0.16010335	0.039015114	-0.029058304	-0.04635063	0.085473776	-0.054645352	-0.024682516	0.09839449	0.23883636	0.093123905	-0.06556785	0.024969492	-0.020329611	-0.09440829	0.021398444	0.06828021	0.06471308	0.028314242	-0.06667219	-0.013348721	0.12087558	0.011326498	-0.16135478	0.014150855	0.0131377	0.082822956	-0.15255797	-0.098497234	0.031299945	0.03785258	-0.021962043	0.038588457	-0.10007452	0.010413356	-0.09148788	-0.07511246	0.0068752174	0.061183896	0.09846584	-0.1640266	-0.019916777	-0.16251722	-0.075540625	-0.0030937449	0.08307288	0.044196814	-0.062354803	-0.07482355	-0.0049986145	0.041844256	0.0406267	0.18417355	-0.09903438	-0.04813048	-0.18640164	0.08794171	0.07249397	0.16020814	-0.031924143	-0.023649434	0.0603422	-0.02361703	0.026847677	-0.018581169	0.13683225	-0.018631829	-0.13326176	0.06785543	0.041380912	0.0655508	-0.0036096429	-0.1666375	-0.15745156	-0.021240488	0.036952097	0.122377455	0.001687858	0.10836703	0.06390645	-0.099263705	-0.027174732	0.0009968205	0.025260946	-0.14463608	0.04033627	0.01544881	-0.049702358	0.1728781	-0.0062048384	-0.078067504	0.023282954	-0.012146198	-0.07485449	-0.09582881	-0.1190161	-0.07699658	-0.018810155	0.048849132	-0.1264501	0.09743512	0.055354316	-0.0149063	-0.07137892	-0.15936744	0.01665191	0.14646712	0.029416999	-0.006985418	-0.10956519	0.08668398	0.09967686	-0.10161211	0.12838544	-0.08131696	-0.15739365	-0.006851236	-0.06885164	0.1000591	0.15180317	-0.045410518	-0.08020381	0.12989731	-0.07103046	-0.074362375	0.08102029	-0.023925038	-0.07320667	0.044351526	-0.17272678	-0.10975178	-0.070829235	0.16923451	0.06071326	0.023502203	-0.031419892	0.19757149	-0.02173225	0.10138202	-0.013502942	0.12134997	-0.0027228259	0.010156059	-0.07252743
Foundations of Mathematics|Mathematical logic|2	0.21074331	-0.037304956	0.008344197	0.08668613	-0.20352188	-0.074786514	-0.101427995	0.021724785	-0.022342628	0.066333145	-0.16884315	-0.05313182	0.036544126	0.056019202	-0.02280135	-0.11014133	0.070225365	-0.062658206	-0.06361378	-0.06004369	-0.1272152	0.104745045	0.13517961	-0.034042396	0.25921103	-0.21312302	-0.08102151	-0.36915404	-0.099581465	0.06870216	-0.029498195	0.029661315	-0.15406817	-0.18257716	0.012244094	0.20370832	-0.12307122	-0.12146638	0.08479451	-0.06284974	-0.15436903	0.1607548	-0.046010796	0.227609	-0.08377326	0.032688685	0.14694834	0.15730982	0.07404234	0.033952948	0.05966471	-0.14275675	0.15385905	-0.22429407	-0.05524698	-0.009229616	0.035575427	-0.010242468	0.22200468	0.16661912	-0.06057005	-0.007103552	-0.17344399	-0.13002399	-0.0622825	0.065796375	-0.03764934	0.13454016	0.058564365	0.018197818	-0.052954055	0.040314216	0.0774988	-0.0063578775	-0.036059186	-0.035303187	-0.09502143	-0.15025356	-0.10274337	0.020269325	0.0004818723	-0.12852652	-0.17106943	-0.31234583	0.05699309	0.121021084	0.02861839	-0.33260003	-0.008248369	-0.0068871225	0.15945257	-0.13326713	0.12719491	0.1421883	-0.16177699	0.022003636	-0.10898765	-0.14362906	-0.14725822	-0.0140539175	0.03362607	0.0919538	-0.07364947	-0.02852801	0.15996274	0.025300017	-0.25366914	0.12105308	-0.030383956	0.05959127	0.023739494	0.036171015	0.11715667	-0.089018986	0.20668009	-0.15598781	0.13349023	-0.26422513	-0.15781073	0.16082881	-0.080782145	-0.031678267	-0.18943833	0.1235947	0.17487627	-0.19041789	-0.04290326	0.0288319	-0.10504575	0.07295531	-0.030424405	-0.08241612	-0.06798563	-0.034319017	0.13554364	-0.06426741	0.018156996	-0.048250973	0.08321251	-0.03265494	0.18179345	0.1334886	-0.18088746	-0.09666609	-0.045992106	-0.13106221	-0.11788106	0.003605745	0.09458127	-0.11181351	-0.044363543	0.03199342	0.1948961	0.21743345	-0.013128965	-0.033901148	-0.02010941	-0.21520096	0.051623784	-0.039903555	-0.06239097	0.11373161	-0.07344457	-0.03374441	0.13105652	0.32173106	0.12406007	-0.086483255	0.03390252	-0.02648765	-0.12761532	0.028783537	0.091747776	0.086314715	0.03842027	-0.0897329	-0.017532986	0.16243604	0.014334015	-0.2164958	0.019172695	0.016378857	0.10933784	-0.20556128	-0.13158357	0.041598767	0.049253527	-0.029985499	0.05158103	-0.13187002	0.013394235	-0.1207972	-0.100262545	0.010329073	0.0835015	0.1331252	-0.21999563	-0.027610185	-0.2177249	-0.09874445	-0.0050087706	0.11192839	0.059525706	-0.08193897	-0.101130605	-0.0070873005	0.057222158	0.055528358	0.24641304	-0.13226277	-0.06452665	-0.24978112	0.11931959	0.09497102	0.21499437	-0.043424726	-0.03268354	0.0811634	-0.032101817	0.03471473	-0.025612142	0.18321526	-0.025642121	-0.17844352	0.09154522	0.05769697	0.08878116	-0.005108145	-0.22365952	-0.20941882	-0.027915526	0.049164034	0.1639001	0.0024372514	0.14525823	0.084065124	-0.13303076	-0.036895387	0.0029271333	0.032785077	-0.19384067	0.05481663	0.020137472	-0.06808685	0.23139179	-0.009257717	-0.10597929	0.032946132	-0.016091164	-0.10050516	-0.12799266	-0.16024116	-0.10359286	-0.024770793	0.0657711	-0.17046118	0.13093191	0.074168526	-0.019340757	-0.09551513	-0.21383628	0.021586353	0.19647011	0.037440885	-0.009360917	-0.14732613	0.11520048	0.13304326	-0.13658981	0.17280754	-0.1079888	-0.21217693	-0.008843722	-0.09292108	0.13464838	0.20339572	-0.059852075	-0.10823774	0.1735514	-0.09482082	-0.09913964	0.109636106	-0.0332603	-0.09864329	0.06047461	-0.23258923	-0.1461852	-0.09568448	0.22663179	0.08183094	0.030707857	-0.040724713	0.26391208	-0.028988991	0.13583125	-0.01961084	0.1618444	-0.004562811	0.014376874	-0.09712836
