	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
Markov chain Monte Carlo_0	0.0015958012	-0.0011689961	-0.0014725246	-0.00043830965	-0.00087920215	-0.00057901756	0.00061521935	0.0010522621	-0.0014727399	0.0012953159	-0.00033001695	-0.0012743404	-0.00044277686	0.0005605246	0.0007895259	0.00072015927	0.0005019542	-0.0009443986	0.0006182528	-0.00014087213	-0.0003935013	-0.00037696873	0.0013796531	-0.0012762778	0.0013392438	-0.00017724262	-0.0011489246	0.00020289271	-0.0010004634	0.0013268727	-0.0014545105	0.0010612898	-0.00018359537	-0.0006214822	0.00040322143	-0.0004240076	-0.00070660096	0.0013682358	5.9515305e-06	0.0016588608	0.00073059817	-0.00046331948	0.00083286304	-0.0005295456	-0.0010025342	0.0015003425	-0.0016391762	0.0012134424	-0.0011497606	-0.00013695378	-0.00040454534	0.000710335	0.00048585006	-0.0016557241	-0.00071682176	0.0009033946	-0.0014036247	0.0011493281	0.00015110317	-0.0007419606	-0.0009612865	-0.0015372479	0.00062805886	-0.0007033763	-0.00014418727	-0.00040467104	0.0016348714	0.00062529615	-0.00011753133	-0.0013347159	0.00072545145	-0.0013812612	8.8949564e-05	0.0010347541	0.0005998461	0.00082385074	0.0016224963	0.0003807836	0.0013510677	0.0014957013	9.2117785e-05	0.0012954284	-0.0003377376	0.00030986013	0.0014372194	0.00030069225	-0.0013726854	0.00071725383	-0.0014113428	-0.0006091856	-0.00044504437	0.001648882	0.00012487962	-0.0015081972	-0.0014574607	-0.0005157897	-1.5031251e-05	0.0009205967	0.0015570954	0.0013807471	-0.00015137385	-0.00038549647	0.00016628196	-0.00021911079	0.00028801808	-0.0015268956	0.0008956388	0.0010721985	0.0016150022	0.00045744958	-0.0011263443	-0.001298274	0.0009880858	0.0009892266	0.0008052968	-0.0008590571	0.001629556	5.4965076e-05	-0.0012424341	9.4408264e-05	0.00026919748	0.0003078032	-0.00011810431	-0.0008179731	-0.0012197433	-0.0014567041	0.00023245363	-0.00048500116	0.0009739846	0.00095947477	-0.0014527303	-0.001492251	-0.0013199653	-1.4356181e-05	7.997509e-05	-0.00048107436	-0.000108458706	-0.00016639012	-0.0011986312	-0.0010261409	0.0012940102	0.00087405567	0.0002619492	-9.262984e-05	-0.0012037872	0.0007802169	0.001132856	-0.0006443534	-2.1483958e-05	-0.0011417402	-0.0014157982	2.0306052e-05	-0.0010002325	-0.0005994459	-0.0008600894	0.00090268237	-0.00019418007	-0.00051059364	0.0014504209	0.0008542234	-0.00071135914	0.0007319634	-0.001442393	-4.922127e-05	0.0009687925	0.0013272595	-0.00072604546	-0.0015813925	-0.000697955	-0.000617266	-0.00019920894	0.00030985384	0.00034315026	7.996519e-05	-0.001621323	0.00092818163	-0.0007275361	1.9957046e-05	-0.0013792226	-1.3916016e-05	0.0011748724	0.0011605752	-0.0007890087	-0.0011078808	-2.3620101e-05	0.0012483962	0.00083865266	-0.0013815085	-0.0011320486	-0.0002817983	7.030982e-06	0.0008902636	-0.0010517902	-0.00056854775	-0.000116844596	-0.0010472488	-0.00045792645	0.001426699	0.0011511123	0.0010822874	0.0010022525	-0.0014296238	-0.00050157204	2.8096818e-05	-0.0016507683	-0.0014237777	-0.00039808353	0.0016260444	-0.0010669633	-0.0008528718	9.5788804e-05	-0.000115141316	0.0008905032	0.0011420945	0.00071220304	-0.0013201875	0.0014533416	-0.0014498984	-3.0852298e-05	-0.0015028265	-0.00051451003	-0.00042493758	-0.0002020266	0.0005146276	-0.00033858136	0.00028034777	-0.00050222664	7.905182e-05	-0.00030941257	-0.0007324766	-0.0009838126	-0.00015852328	0.00072994834	-0.0010741287	-0.00017657995	0.0013363591	0.0009136848	-0.0006224814	0.00027977425	0.0012568749	-0.00017326696	0.00053998263	0.0003988668	0.0015154907	0.00037945952	-0.0003033196	-0.0007088642	-0.00017520154	-0.001044784	0.001479771	0.0003972077	0.0016618201	-0.0009784632	0.0015986334	0.0013502763	-0.0007242965	-0.0006053438	0.0010195934	0.00079066027	1.0029584e-05	0.0014640535	-0.0011822135	0.00088333857	3.455789e-05	0.0008158044	-0.0014825527	-0.0008884937	0.0012097082	0.00096413464	-0.0009005692	0.00011858368	-0.00059225445	-0.00044615386	-0.0001526858	-0.001140762	0.0013768871	0.00071607163	0.0011108653	-0.00029091007	0.0016227216	0.00095725845	-0.001311254	0.0012138922	-9.0113805e-05	-0.0015426249	-0.0013036142	0.0007000956	0.0014859411	-0.00091389654	0.00034373903	0.0006882002	-2.1470447e-05	0.00048643386	0.00015970155	-0.00032066816	-0.0014163031	-0.0004527862	0.0007694982	0.00091068307	0.000849559
Markov chain Monte Carlo_1	0.0015958012	-0.0011689961	-0.0014725246	-0.00043830965	-0.00087920215	-0.00057901756	0.00061521935	0.0010522621	-0.0014727399	0.0012953159	-0.00033001695	-0.0012743404	-0.00044277686	0.0005605246	0.0007895259	0.00072015927	0.0005019542	-0.0009443986	0.0006182528	-0.00014087213	-0.0003935013	-0.00037696873	0.0013796531	-0.0012762778	0.0013392438	-0.00017724262	-0.0011489246	0.00020289271	-0.0010004634	0.0013268727	-0.0014545105	0.0010612898	-0.00018359537	-0.0006214822	0.00040322143	-0.0004240076	-0.00070660096	0.0013682358	5.9515305e-06	0.0016588608	0.00073059817	-0.00046331948	0.00083286304	-0.0005295456	-0.0010025342	0.0015003425	-0.0016391762	0.0012134424	-0.0011497606	-0.00013695378	-0.00040454534	0.000710335	0.00048585006	-0.0016557241	-0.00071682176	0.0009033946	-0.0014036247	0.0011493281	0.00015110317	-0.0007419606	-0.0009612865	-0.0015372479	0.00062805886	-0.0007033763	-0.00014418727	-0.00040467104	0.0016348714	0.00062529615	-0.00011753133	-0.0013347159	0.00072545145	-0.0013812612	8.8949564e-05	0.0010347541	0.0005998461	0.00082385074	0.0016224963	0.0003807836	0.0013510677	0.0014957013	9.2117785e-05	0.0012954284	-0.0003377376	0.00030986013	0.0014372194	0.00030069225	-0.0013726854	0.00071725383	-0.0014113428	-0.0006091856	-0.00044504437	0.001648882	0.00012487962	-0.0015081972	-0.0014574607	-0.0005157897	-1.5031251e-05	0.0009205967	0.0015570954	0.0013807471	-0.00015137385	-0.00038549647	0.00016628196	-0.00021911079	0.00028801808	-0.0015268956	0.0008956388	0.0010721985	0.0016150022	0.00045744958	-0.0011263443	-0.001298274	0.0009880858	0.0009892266	0.0008052968	-0.0008590571	0.001629556	5.4965076e-05	-0.0012424341	9.4408264e-05	0.00026919748	0.0003078032	-0.00011810431	-0.0008179731	-0.0012197433	-0.0014567041	0.00023245363	-0.00048500116	0.0009739846	0.00095947477	-0.0014527303	-0.001492251	-0.0013199653	-1.4356181e-05	7.997509e-05	-0.00048107436	-0.000108458706	-0.00016639012	-0.0011986312	-0.0010261409	0.0012940102	0.00087405567	0.0002619492	-9.262984e-05	-0.0012037872	0.0007802169	0.001132856	-0.0006443534	-2.1483958e-05	-0.0011417402	-0.0014157982	2.0306052e-05	-0.0010002325	-0.0005994459	-0.0008600894	0.00090268237	-0.00019418007	-0.00051059364	0.0014504209	0.0008542234	-0.00071135914	0.0007319634	-0.001442393	-4.922127e-05	0.0009687925	0.0013272595	-0.00072604546	-0.0015813925	-0.000697955	-0.000617266	-0.00019920894	0.00030985384	0.00034315026	7.996519e-05	-0.001621323	0.00092818163	-0.0007275361	1.9957046e-05	-0.0013792226	-1.3916016e-05	0.0011748724	0.0011605752	-0.0007890087	-0.0011078808	-2.3620101e-05	0.0012483962	0.00083865266	-0.0013815085	-0.0011320486	-0.0002817983	7.030982e-06	0.0008902636	-0.0010517902	-0.00056854775	-0.000116844596	-0.0010472488	-0.00045792645	0.001426699	0.0011511123	0.0010822874	0.0010022525	-0.0014296238	-0.00050157204	2.8096818e-05	-0.0016507683	-0.0014237777	-0.00039808353	0.0016260444	-0.0010669633	-0.0008528718	9.5788804e-05	-0.000115141316	0.0008905032	0.0011420945	0.00071220304	-0.0013201875	0.0014533416	-0.0014498984	-3.0852298e-05	-0.0015028265	-0.00051451003	-0.00042493758	-0.0002020266	0.0005146276	-0.00033858136	0.00028034777	-0.00050222664	7.905182e-05	-0.00030941257	-0.0007324766	-0.0009838126	-0.00015852328	0.00072994834	-0.0010741287	-0.00017657995	0.0013363591	0.0009136848	-0.0006224814	0.00027977425	0.0012568749	-0.00017326696	0.00053998263	0.0003988668	0.0015154907	0.00037945952	-0.0003033196	-0.0007088642	-0.00017520154	-0.001044784	0.001479771	0.0003972077	0.0016618201	-0.0009784632	0.0015986334	0.0013502763	-0.0007242965	-0.0006053438	0.0010195934	0.00079066027	1.0029584e-05	0.0014640535	-0.0011822135	0.00088333857	3.455789e-05	0.0008158044	-0.0014825527	-0.0008884937	0.0012097082	0.00096413464	-0.0009005692	0.00011858368	-0.00059225445	-0.00044615386	-0.0001526858	-0.001140762	0.0013768871	0.00071607163	0.0011108653	-0.00029091007	0.0016227216	0.00095725845	-0.001311254	0.0012138922	-9.0113805e-05	-0.0015426249	-0.0013036142	0.0007000956	0.0014859411	-0.00091389654	0.00034373903	0.0006882002	-2.1470447e-05	0.00048643386	0.00015970155	-0.00032066816	-0.0014163031	-0.0004527862	0.0007694982	0.00091068307	0.000849559
Markov chain Monte Carlo_2	-0.00011036172	-0.0003427618	-0.00040447435	-0.00038787842	0.0005748701	0.00021398702	-0.00021425294	7.393298e-05	-0.00017156069	0.00046131108	0.00010730866	-0.0002705173	0.00030347507	6.294143e-05	0.00039968023	0.00019456772	0.0006227893	-0.00043274785	0.00014130195	-0.00042129876	0.00015754657	0.00046090884	0.00083523674	-0.00027293313	-0.0001849339	9.680211e-05	-4.1215975e-05	-0.0003876281	-0.00046285597	-7.5149626e-05	-9.528272e-06	0.0003064381	-2.6704658e-05	0.00020629862	0.00024380161	-5.278115e-05	0.00027828643	-0.00029159334	3.9211995e-05	-0.00015186414	0.00021630038	-4.708078e-05	2.2016582e-05	0.00013321295	0.00036565374	-0.00014138198	-0.00047003842	-0.00015716793	7.291557e-05	0.00033420607	-0.00015523442	-0.0005480629	-0.00045229436	-0.0007246496	-0.00030316066	-0.00021564694	-0.00092948286	0.0005210543	-0.0003374206	4.7416004e-05	0.00036739447	0.00020967213	0.00022968877	-0.00019407803	0.00021964243	0.0004229022	0.00024498187	0.0005183067	0.0005170049	-0.0006570134	-6.624342e-05	-0.00091560074	0.0005367244	-0.00016626423	6.987326e-05	0.00040664198	0.0007512035	0.00022447837	7.4679054e-05	0.00022643985	2.5661635e-05	0.00051901635	0.0006648445	0.00026618887	0.00016464604	-0.00010514762	0.000116357005	-7.902545e-05	-0.000252786	-0.000110094814	-0.00073830463	0.0005093722	0.00023596962	-0.00045016175	-0.00012968118	0.00045351963	-0.00026874675	0.00016576356	0.00018862114	0.00027064743	-0.0002467881	-4.7228405e-05	0.00027209043	-0.00028907956	0.00034299464	-0.0002810801	0.00043234724	-0.0001676735	2.2930115e-05	7.6869896e-05	0.0002696357	-0.0002925897	0.00014608467	0.00038821864	0.00020105015	0.00022481823	0.0003858682	0.0005162511	0.0003744587	-0.00032238732	0.00034655703	0.0004887884	2.3683115e-05	0.00011008163	-0.00063870754	-2.5936963e-05	-0.00040160285	0.0006719622	-9.7984885e-05	5.7903075e-05	-0.00011277549	-0.00051990716	4.0212457e-05	-0.0004376441	0.00010073481	0.00018649107	0.000218873	0.00059426285	-0.00015075554	-0.0002928798	0.00033533582	-0.00025482525	-0.0004865558	-7.7293495e-05	-0.0002884168	0.00016115062	-2.794147e-05	-0.00023317765	-0.0003802456	8.7472387e-07	-0.0005991525	-0.0002505756	-0.00028872638	-0.00025454673	-0.00067476573	3.6929912e-05	6.182196e-05	-0.00036637177	0.00010013064	0.00024060276	-8.364106e-05	0.00037015713	-0.0003547413	0.00012913127	-0.00011320599	2.2543785e-05	-0.00027837607	-8.175295e-05	0.00015330152	-0.000105209605	-6.263966e-05	-2.3374672e-05	-0.0002254121	-0.0001728871	-0.00015508675	-0.00023036083	0.000316265	-0.00028502286	-0.0004954873	-0.00021110327	-0.00035158067	0.00021620904	-0.0007010618	-0.0005265769	2.2068578e-05	-0.0005967996	0.0005167087	-0.00020373295	-0.00021601739	-0.00028270984	0.0003052084	0.00029150373	0.00028232826	-0.0005505863	-0.00029081793	-0.00012271252	0.00045740392	-0.00026404558	-0.00029253916	-0.00028443336	-7.0241724e-05	-0.00015529184	0.00015287261	1.2871243e-05	1.5300822e-05	-0.00043497578	-0.00028029032	2.6636883e-07	-0.00022820685	-0.00024318289	-0.00025614945	0.00035074083	0.00042923295	-0.0001741112	0.00024788853	0.00038599764	0.00011643269	0.00010657734	-0.00018599801	-0.00051281543	-0.00017163884	-0.00021410399	-0.0005189906	-2.0561089e-05	0.0002493129	0.00025693004	-0.00038802586	0.000112320835	0.00053585204	0.00029632493	-0.00031287008	-0.0004809514	5.2955584e-06	-0.00094547344	-0.0002816671	-0.00019058236	0.00065075053	0.0005868787	-0.00011479101	0.00014988914	-9.4908224e-05	-4.235541e-05	0.00044591614	6.332614e-05	-0.00044786048	0.00015748954	0.0004976076	0.00015672688	-0.000349366	-0.00018113152	0.0006623601	0.0002816405	0.00037092745	5.880918e-05	0.00025464126	-0.00040843815	-0.0005248458	0.0003762165	-0.00042859875	0.00020040864	3.9007496e-06	0.00057520997	-0.0003974637	1.2008802e-05	0.0011774806	-0.0003532986	0.000524593	-8.5665146e-05	0.0004664234	0.00048097444	-4.0234907e-05	0.00062613277	4.534639e-05	-0.00053239317	4.461943e-05	-0.00037380998	0.0001892048	-0.0002520926	-7.9785365e-05	-0.0008936273	-0.00036839166	-0.0006628705	0.00013982596	2.1738564e-05	-1.3578677e-05	0.00027534858	-0.00013929667	0.00030324757	-0.0003983789	-0.00018836156	0.00018084548	0.0004041388	-0.00013829565	-0.00051406387	-0.0001685852	-0.00023189429	-0.0001410487	-2.5019712e-05	-0.00035052997	0.00056569657
Markov chain Monte Carlo_3	2.2983324e-05	-0.00059083296	-0.00045875338	-0.00038395548	0.000293384	-6.180814e-05	0.00019866959	0.00035820965	-0.0004224044	0.0002808339	0.00011600265	-7.442873e-05	0.0001339042	-0.00026469567	0.0005547218	0.00035925405	0.0002489027	-0.00030084583	0.0002100019	-7.820449e-05	-0.00039966166	0.00036155916	0.0006902791	-0.00011961936	-2.0748943e-05	-0.00035861047	0.00036955817	-0.00039962778	-6.0058373e-05	-0.00014803883	-0.00041907388	-4.5827925e-05	-0.00020724355	-7.9995865e-05	0.00059600704	-0.00028448686	0.00012424184	-0.0006359052	0.0003605417	0.00048471527	0.00036434096	-0.00011019224	0.00019090969	0.00027733837	0.00034615275	3.560434e-05	-0.0005739906	-9.6475764e-05	-6.285542e-05	0.00024966674	-0.00013217716	-0.00064974825	-0.000280907	-0.0006638085	-3.946779e-05	-0.00023369782	-0.0006532573	0.00064421	-0.0004281795	-5.6479577e-05	0.00030120084	0.00028723426	5.9985337e-05	-0.00043831795	0.00040365386	0.00012731168	0.00036092362	0.00054573984	0.00029690497	-0.00040185265	-0.00019222847	-0.00050708285	0.000509572	-0.00019454016	-0.00018576522	0.000255813	0.0005951218	4.2893982e-05	2.9691106e-05	0.00027094438	3.9892373e-05	0.000608531	0.0005647623	0.00048325205	-3.3278484e-05	-0.00037301792	-7.92486e-05	-0.00011187442	-0.00030676782	0.00012717182	-0.0007884439	0.00054379174	0.00041618635	-0.00034362738	-4.2860833e-05	0.00023890151	-0.0002360308	0.0002891862	0.000149223	0.00034424744	-0.0003188699	-0.00018752864	0.000113462025	-0.00038960215	0.00062131917	-3.9055165e-05	0.00035179392	0.00011351935	0.00041160837	0.0002053706	0.000296784	-6.527147e-05	0.00022797458	0.00017943564	0.000107187996	9.843368e-05	0.0006445288	0.00041100092	0.00031754025	-0.00026113214	0.0005389599	0.0002450602	-0.00029054005	-0.0002438821	-0.0006384702	-0.0001469877	-0.0007091335	0.00045985248	-4.089263e-05	-7.904268e-05	-0.00036304642	-0.000363928	-0.00029811286	-0.00041071992	8.8962894e-05	-0.00017595802	0.0005369894	0.00066961243	-5.8580503e-05	-7.832845e-06	0.0006984776	-0.00039046325	-0.000352729	-0.00029162903	-0.00041934324	0.00020998792	0.00034644306	-6.5133514e-05	-0.0004054218	-0.00024908414	-0.00044932266	-9.3480194e-05	-0.00029752206	-0.0003525642	-0.00094923616	-9.026305e-05	-9.635398e-06	-0.00038273822	7.202907e-06	0.00023042597	-0.00015022872	0.00068032416	-0.00033378822	0.0003597227	0.00017601979	0.00040617	-0.0001910449	-5.814933e-05	0.00026912114	4.838088e-05	-8.986573e-05	0.00017352753	-0.00019658516	-0.00045892206	1.7490675e-05	-0.0001909624	-0.0001039362	-0.00020050742	-0.00033010362	-2.389164e-05	-0.00055616285	0.00022130489	-0.00060069934	-0.00060241885	-0.00017617726	-0.0005885578	0.0006764123	-0.00024904628	-7.7730445e-05	5.2735257e-05	0.00010707554	0.00019286605	0.00018688464	-0.00064887403	-0.00022329815	1.3533194e-05	0.00033296453	-9.651501e-05	-0.00012619089	-0.0003777154	0.00025566632	-0.0003126182	-2.7577695e-05	-5.3670956e-06	-0.0002083989	-0.00023244749	-0.0004405617	-2.426036e-05	-0.00012163286	-0.00030780432	-0.00036130997	0.00061369984	0.0003817378	-5.8457168e-05	3.0403946e-05	9.6165895e-06	0.00017095085	-7.849725e-06	0.000258793	-0.000641401	-0.00038991496	-0.00010620166	-0.00044924344	0.00027568568	0.00022599206	0.00014979987	-0.00021886906	0.000337769	0.0004731397	0.000115662915	-0.00064769504	-0.00025936274	-0.0002206277	-0.0006611005	-0.00012756817	-8.3676394e-05	0.000426981	0.00058428774	0.00014097925	0.00026592967	7.5014934e-05	0.0002683759	0.0002566018	-0.00027445	-0.00046930133	0.00018215078	3.945848e-05	2.1450338e-05	-3.8841477e-05	-0.00020528429	0.0007621746	0.00039975758	0.000118819284	-6.0459966e-05	0.00026083924	-0.00044468782	-0.00023365192	0.00050592225	-0.00020974717	0.0001934974	0.0002267902	0.00042801863	-0.00016469265	-6.6621185e-05	0.0012988045	-0.00037127413	0.0002695248	3.2988974e-05	0.00036238096	0.00017776401	-7.9061996e-05	0.00025901225	0.00019862805	-0.00028438465	0.00014080216	-0.0001848308	-3.5176774e-05	-0.000138924	4.1992786e-05	-0.0004911942	-0.00023031898	-0.00065202743	-0.00014857065	0.00016250846	0.00018353491	0.00035183656	0.00011528707	9.9653975e-05	-0.0005823246	0.00025894115	0.00027138618	0.00024290588	-0.00011274409	-0.00022560678	0.00016878788	-0.0004750017	-0.00033144528	0.00013129348	-0.00023138401	0.00071262184
