	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
Applied Mathematics.Game theory.0	-0.178519	-0.28531882	0.10869033	-0.037890177	-0.049957443	0.38973558	0.23090625	0.019356951	-0.12432624	0.1339915	0.38510457	-0.08170494	0.47039723	0.07658441	0.30940846	0.01434255	-0.10551789	0.19631667	0.2529761	0.18303947	0.21632071	0.14065419	0.16995175	-0.13468064	-0.060396742	-0.036272977	0.15634038	0.43839192	0.078994036	-0.07951186	-0.44485924	-0.14648671	0.29540554	0.37801313	0.30504546	0.31092456	-0.048582464	-0.07785005	-0.41458812	0.32201877	-0.041038442	-0.24302016	0.24599849	-0.1474696	-0.83912015	-0.41674745	0.2911618	-0.88670903	0.30286643	0.02772645	-0.4528066	0.27501872	0.19487137	0.2845981	0.19689803	0.36752084	0.024154058	-0.19043632	0.12597232	-0.09199264	0.2566245	0.077641375	-0.039103936	0.31155258	-0.27776054	-0.9229639	0.060361158	-0.06378507	-0.37064433	-0.2538263	0.19410662	-0.2374805	0.08673669	0.11320851	0.3102314	-0.28006747	-0.1874973	-0.1220606	-0.08700841	-0.06521827	-0.5296257	0.1792412	-0.040451154	0.3175554	0.00089804083	0.39332005	-0.5776258	-0.032254953	0.41750264	-0.11403909	0.19548315	0.10554267	0.097623646	-0.21624132	0.042966317	-0.049500372	-0.11477351	0.011158253	-0.029028015	-0.4121722	0.07259045	-0.42951182	0.14294796	0.40272522	0.14897251	-0.027843177	-0.21222216	-0.5305606	-0.19373764	-0.08038008	0.36687335	-0.32053566	-0.15894835	-0.14113396	-0.24287628	-0.550668	-0.48824486	0.087456696	-0.2206416	-0.03812216	-0.18819188	-0.7916846	0.11349108	0.036767542	-0.54948676	0.3637135	0.30745503	-0.3328495	-0.03858102	0.012287267	0.042074025	-0.017032126	0.09877861	-0.40987563	0.055226315	0.09011969	-0.027764479	0.3791777	0.31139588	0.6966961	-0.20530714	-0.23790872	-0.53699154	-0.10711949	-0.054747198	0.13403845	0.46405658	0.09435958	0.3874687	0.3599516	0.48186675	0.326031	-0.19320363	-0.73433334	0.116260566	0.26055905	-0.38217854	0.5489182	0.3863612	0.15548506	0.7422331	-0.27571484	0.10704646	-0.00012666483	0.19233187	0.0064793383	0.0541086	-0.10146635	-0.30536368	-0.4159476	-0.19570045	-0.09229249	0.43878767	0.30578732	0.3101487	0.19797419	-0.12979163	-0.05233853	0.23834991	-0.07372374	0.011614691	-0.28818664	0.07862221	-0.32598642	0.17160468	-0.03884856	-0.104799986	0.0755046	-0.13035075	0.0063698688	0.48477563	-0.17972036	0.29417232	0.17600302	-0.5677724	-0.2987878	-0.80314225	0.46949843	-0.032044236	-0.46239054	0.4039048	0.72556096	-0.34545362	-0.18279542	-0.199225	-0.06656826	-0.47418246	-0.22405721	-0.44795525	-0.26081762	-0.062523216	-0.16827671	-0.15808457	0.070014946	-0.27764243	0.33483362	0.018780971	0.033473443	0.24563064	-0.5104204	0.2182883	-0.14826389	-0.26260662	0.051553506	-0.06338022	0.038440138	-0.48669276	0.30970544	0.2924	0.2185008	-0.0802898	0.12553819	-0.33779654	-0.14103235	0.13762723	0.47229898	0.12252762	0.29159287	-0.21717386	-0.32293737	0.6120613	-0.18674499	0.10264941	0.3696344	-0.080458775	-0.15404892	0.34634522	-0.18615435	0.120525725	-0.082678825	0.5416331	0.17262168	0.20021804	-0.071289085	0.619196	0.026310047	-0.13718908	-0.8979079	-0.08448536	0.086833306	-0.61918306	-0.32986134	-0.44751403	-0.22475262	-0.0926149	0.24635522	0.23832947	-0.31605554	-0.08376115	-0.14986211	-0.53946537	-0.21751483	0.10766644	-0.13695325	0.12106653	0.0434491	0.12622774	-0.23045035	-0.16495736	-0.4773415	-0.39301038	-0.2493339	-0.49571928	0.4868119	0.12607528	-0.31453165	-0.080459036	-0.03352676	-0.103039585	0.7494712	-0.48145318	-0.108869694	0.018791923	-0.12466052	0.12248965	-0.21669637	-0.121199004	0.08069231	-0.23835267	0.26098755
Applied Mathematics.Game theory.1	-0.22634375	-0.22270632	0.097732075	-0.049534097	0.053750217	0.123776875	0.1741808	0.004419891	-0.07460512	-0.1762559	0.22189553	-0.051165566	0.35898456	0.18209879	0.24799001	-0.1462102	-0.06920192	0.08232113	0.22138892	0.34766424	0.27704498	0.24554539	0.02559936	-0.05513211	-0.34545097	-0.084996074	0.17274876	0.6625434	-0.120099865	0.14093897	-0.17492598	-0.10124946	0.4870219	0.15867127	0.1697035	0.33912238	-0.16993165	-0.0296416	-0.34644917	0.11451294	-0.27189687	-0.30308783	0.23608743	-0.10756854	-0.642035	-0.37245396	0.4198617	-0.5646209	0.3347262	-0.012982868	-0.33538613	0.18040468	0.22974299	0.2579249	0.19712454	0.4206333	0.14650361	-0.3306551	0.02904368	0.0948157	0.05039245	-0.015854707	-0.10882676	0.40783098	-0.14421771	-1.0396253	0.06525866	0.28950635	-0.37803683	-0.09915334	0.15838115	-0.20592757	0.009085152	0.19828807	0.4071565	-0.2779949	-0.07146714	-0.14698628	-0.06989718	-0.09435684	-0.28226593	0.08492907	-0.1951543	0.14103298	0.005085037	0.38762686	-0.51836306	-0.076396964	0.43813658	-0.19952567	0.1597856	0.05101283	0.17554611	-0.31882384	0.15860778	0.017273271	0.045999985	0.13895166	-0.08302424	-0.24866457	0.11857744	-0.36850128	0.16134694	0.20271945	-0.03973413	-0.03922699	-0.0754319	-0.45809996	-0.044738103	-0.31127343	0.5199563	-0.45498714	-0.21907061	-0.19154727	-0.3307469	-0.45523778	-0.4274846	0.04877737	-0.15713154	0.048093785	-0.20127659	-0.6747978	-0.090163626	-0.01861236	-0.352152	0.15604275	0.18284458	-0.34300885	0.04750955	-0.061004486	0.092246495	0.116238214	0.241727	-0.2920101	-0.03343621	0.11486945	0.14237814	0.13606152	0.30821568	0.6029469	-0.2080826	-0.24558091	-0.48998752	-0.13661532	0.07946345	0.073040776	0.5209678	0.021714507	0.37014684	0.5801583	0.7008812	0.27642086	-0.29787526	-0.7279678	0.009269737	0.16426723	-0.23778437	0.33704093	0.22737421	-0.06175139	0.7577748	-0.26388696	0.024293328	-0.14052732	0.17985897	-0.053208817	0.06550578	0.046439957	-0.28091934	-0.47654304	-0.18721546	-0.03643775	0.5377048	0.28829283	0.2809738	0.38568857	-0.16388226	-0.17450494	0.2078375	-0.15151216	0.12754066	-0.23165382	0.0077376463	-0.27432325	0.19979084	-0.034963902	-0.11761123	0.23222482	-0.058698967	-0.25863215	0.40404227	-0.2878379	0.43791664	-0.0002716904	-0.70841986	-0.12915401	-0.65596795	0.21838091	-0.14708494	-0.4215355	0.23914671	0.6315741	-0.29030097	-0.22748983	-0.26625007	-0.21978319	-0.46412095	-0.07464815	-0.64346904	-0.32931736	0.14299707	-0.06387397	0.20529127	0.22748303	-0.18867505	0.38668796	0.23608978	-0.14673342	0.33401492	-0.61208284	0.24031018	-0.20819573	0.053838283	0.3298243	-0.25549063	-0.06749662	-0.5566961	0.17961441	0.013130915	0.0476469	-0.15917565	0.14581265	-0.21103543	-0.17661022	0.2762128	0.2692023	-0.016276024	-0.0022429575	-0.19495924	-0.45741618	0.47185692	-0.26484653	0.062547535	0.103279404	-0.024159042	-0.11952981	0.35717082	-0.17208058	-0.011206846	0.04894535	0.5172013	0.29269543	0.26728266	0.02815598	0.71311635	0.07635916	-0.014565717	-0.7009308	-0.018054059	0.06559467	-0.7205813	-0.413807	-0.44169566	-0.2528163	0.02628618	0.22492246	0.1423673	-0.44759345	0.053375676	-0.12510896	-0.5242067	-0.067219995	0.14618541	0.019182397	0.17444055	-0.035836104	0.265021	-0.2668963	-0.10543618	-0.29386565	-0.32738304	0.041813996	-0.39405164	0.5300073	0.087042846	-0.33958176	0.06057201	0.16604207	-0.09304435	0.74512035	-0.6632555	0.04932945	0.0012197843	-0.20905097	0.20900144	-0.37698194	0.084721565	0.3097309	-0.10207462	0.24224998
Applied Mathematics.Game theory.2	-0.031980082	-0.1250344	0.11401138	-0.028735276	-0.04850121	0.21579291	0.15780108	0.19665498	-0.06591842	-0.21467195	0.16210368	-0.0017187059	0.32544968	0.045262523	0.14042482	-0.18286557	0.0023210745	0.2033398	0.20333523	0.30299395	0.06277556	0.16774726	-0.02899895	-0.068427294	-0.24601315	0.071938865	0.1215925	0.474042	0.02587581	0.10793193	-0.10903919	-0.10727223	0.51080847	0.2268123	0.008631449	0.22538339	-0.008046094	-0.023403367	-0.30259115	0.1423737	-0.03793488	-0.20323162	0.23609261	-0.21713378	-0.49234885	-0.25636056	0.20119177	-0.3555819	0.29823667	0.17766054	-0.19728659	0.16078725	0.15422182	0.23909587	0.2163715	0.17295107	0.32808813	-0.2583648	0.15802501	-0.09055636	-0.12278683	-0.09591476	-0.022897316	0.3382339	-0.11284135	-0.8841064	0.14961033	-0.07054167	-0.17166275	-0.22277634	0.19946398	-0.08684812	-0.021169309	0.09019117	0.42352688	-0.339551	-0.07043899	-0.13528681	-0.12955622	-0.05070873	-0.3120221	0.21568409	-0.24721274	0.06773482	0.009007303	0.50580424	-0.36096993	0.0023947149	0.2211058	-0.27807993	0.112617664	-0.03876267	0.01620273	-0.08344707	-0.13647911	-0.14960678	0.04061018	0.04455288	-0.06846022	-0.2395248	0.17921703	-0.39495006	0.0025007734	0.09864187	-0.026625093	-0.20081042	0.033385932	-0.37749922	0.12080874	-0.16806133	0.38452545	-0.3698816	-0.29522425	0.041508544	-0.05148476	-0.4011521	-0.2950169	-0.09244035	-0.06746057	0.2342561	-0.013627539	-0.72252786	-0.019401673	0.10603065	-0.35156876	-0.122060075	0.2673449	-0.04735632	0.041714627	0.040688846	0.06286107	-0.10222904	0.13546449	-0.07513452	-0.074955024	0.11693999	0.16142856	0.11446384	0.31873125	0.4818688	-0.14442419	-0.15472649	-0.5862797	-0.1526266	-0.08359801	0.073955126	0.23681514	0.05636301	0.15355936	0.42702326	0.47884348	0.21956296	-0.28877527	-0.62711877	-0.0044750096	0.2435173	-0.19627683	0.40479374	0.21962574	-0.09890979	0.57179046	-0.3287769	-0.08596621	-0.07611905	0.062045243	-0.019977473	0.07744936	-0.1263208	-0.26723802	-0.32361993	-0.071263336	-0.18776338	0.36068255	0.15141565	0.055136364	0.22711608	0.049242117	0.08693859	0.11744086	-0.14974457	0.16871575	-0.32729706	0.122647285	-0.37139288	0.12875648	0.00601677	-0.099974625	0.08941365	-0.09330214	-0.209426	0.4003336	-0.15470825	0.3541828	-0.004040734	-0.5638897	-0.18667601	-0.4756196	-0.031484567	-0.09137368	-0.23214044	0.28505617	0.4838676	-0.26521865	-0.22869661	-0.09899933	-0.036076844	-0.3922733	-0.10660469	-0.52966857	-0.21120252	0.108807355	-0.22309087	0.29677755	0.2563662	-0.14108357	0.22196242	0.18653592	-0.11893113	0.41230965	-0.5231516	0.041253064	-0.16752334	0.097449906	0.19622882	-0.051646072	-0.024179108	-0.4127635	0.16746598	0.121466294	0.1925058	-0.028433412	0.102616385	-0.16538028	-0.11160652	0.21971539	0.30006257	-0.020185005	0.098168574	0.0056043663	-0.40749222	0.47917956	-0.2812754	-0.15160264	0.12141325	-0.20305024	-0.22978015	0.34350047	-0.089214824	-0.044726536	-0.10628747	0.53705686	0.37627596	0.31407502	0.0784863	0.5819999	-0.10133911	0.04420543	-0.64891595	-0.08614533	0.11974606	-0.59954095	-0.33621466	-0.5015636	-0.17977013	0.08460234	0.21371378	0.22148183	-0.383129	-0.034376524	-0.14680907	-0.4883844	0.02766751	0.23957321	-0.05261701	0.33612454	-0.09839524	0.080175415	-0.23719372	-0.08453367	-0.110989265	-0.19866689	0.032296713	-0.4761118	0.40544456	0.047398698	-0.211473	0.13204852	-0.046396423	-0.08871174	0.6785642	-0.5247821	-0.026019579	-0.047224544	-0.08238808	0.069300175	-0.2120325	0.015029063	0.25954977	-0.101337455	0.31263942
Applied Mathematics.Game theory.3	0.013121833	-0.37383795	0.7623925	0.1510218	0.063121684	-0.30967113	-0.047818124	0.008442766	0.5295001	-1.011859	-0.31272855	-0.126044	0.71617043	0.81659734	0.05979223	0.051332828	0.13198327	-0.23470786	0.12634918	0.017543746	0.47197923	-0.32229125	0.017668793	-0.29031518	-0.1260168	-0.15798227	-0.14086005	0.37206683	0.5483372	0.7873911	-0.62008214	0.039586272	0.21631415	-0.06735645	-0.38934544	0.82476	0.50004506	-0.4269364	0.22575398	-0.3516209	-0.35337391	-0.25510052	-0.78594136	0.010179805	-0.45133543	-0.62297225	1.1000935	0.11438167	-0.55846137	0.24367532	-0.2629364	0.14890394	0.5545225	0.2862817	0.10719004	0.60179406	0.9829437	-0.34958315	-0.41722268	0.56799346	-0.33485582	-1.0694097	0.11559322	-0.10689571	-0.46458006	-0.84929746	0.35145822	-0.8493081	0.5348878	0.023232762	0.39466438	0.54367924	0.27864853	-0.5214182	1.0004778	-0.7545716	-0.08325325	-0.6877025	0.07017663	0.2625386	-0.30120307	-0.5621749	-0.15681322	0.13673003	0.62624097	-0.035409667	-0.58015317	-0.51313204	0.14160344	0.29472318	-0.04087393	0.034595247	0.04354525	-0.43991643	-0.22107026	-0.68096375	0.21922816	0.32626358	-0.49771947	-0.044022553	-0.24655847	-0.017502075	0.011938551	-0.2657369	-0.5546129	0.19772747	0.088188834	0.122473344	0.5082449	0.14848639	1.0848836	-0.9863249	-0.10680992	-0.13058409	0.26043418	-1.138358	-0.66551965	-0.66712844	0.38815212	0.96391904	-0.99749863	-0.1794936	-0.24508867	-0.20318933	-0.3290119	-0.5056959	0.7445854	-0.47969297	0.4152836	-0.48094404	0.15066381	-0.41422814	0.47647035	-0.54469246	-0.04821194	0.44716683	0.6999268	-0.81201065	-0.19636424	-0.035670325	-0.5118426	-0.4376994	-0.8250931	0.3954346	-0.15428065	-0.36066008	-0.049031362	0.30639789	0.0857675	0.5452226	0.30658853	-0.5125805	0.4875399	-0.7309003	0.3220092	0.55922246	-0.07070512	0.46835893	-0.22302775	-0.9080341	-0.23630972	-0.5426795	-1.0049908	0.2596271	-0.16042869	-0.3317405	0.13694772	0.3623563	0.22031388	-1.0788604	-0.01274821	-0.16305488	0.37721214	-0.38358694	0.085342534	0.12689841	0.20994726	0.6630231	-0.032471616	0.13620172	0.26063576	-0.21664342	0.011257516	-0.5618899	0.34148988	-0.46911293	-0.73968315	0.10832528	0.16013344	-0.4155454	0.3691532	-0.17823285	-0.285011	-0.005771904	-0.089014925	0.0795583	-0.28059986	-0.16251957	-0.027914053	0.55920005	0.32596183	0.102165915	0.066407375	-0.13396414	-0.6911613	-0.45670176	-0.9321573	0.46373627	-0.6304191	0.8873537	0.24691299	-0.23475643	0.21002617	-0.02914092	0.2539992	0.26000258	-0.11365039	-0.3633827	-0.5035606	0.46009764	0.07293306	0.567565	0.26939246	0.85589105	-0.1601147	0.07508262	-0.34880894	-0.16279702	-0.1699465	-0.5515075	0.058449425	0.071620464	0.098692685	-0.0038638995	0.6842582	0.5717422	-0.3912398	0.06432852	0.4295197	-0.7161159	0.36127052	-0.9987258	-0.07819126	-0.3407892	0.9753821	-0.43337703	1.4979796	-0.039501287	0.67298424	0.12508023	0.68644804	1.6660391	0.41752177	0.051507562	0.48844403	-0.28345507	-0.082664326	0.079403	-0.15520026	0.41914123	-0.011324222	0.5253325	-0.7007928	-0.56072253	0.6965218	0.15883331	-0.007657775	-0.35851145	0.59276295	1.3779864	-0.0024602734	-0.37919706	0.8461502	-0.5049683	-0.01717823	-0.18411084	-0.11095752	0.072103426	0.4323274	-0.073911436	0.9769436	-0.17801315	-0.20445564	-0.43695843	0.23806266	0.15510596	-0.0382778	-0.3481726	0.22264847	1.5772874	-0.5087999	0.4016236	0.30041108	0.21179385	0.73680174	-0.40458065	0.40724713	0.29532272	-0.04284246	0.7350202
